City_Name,SampleSite_ID,SamplePoint_ID,SampleLayer_ID,Borehole_Ksat_cmhr,BoreholeMeasurementDepth_cm,UpperDepth_cm,LowerDepth_cm,Kunsat_cmh,Park_Name,Latitude,Longitude,Land_Use,Sample_Layer,Surface_Subsurface,Layer_Designation,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,ParentMaterials,Color,Primary_Color,Hue,Value,Chroma,numeric_texture,Texture,Predicted_Sand,Predicted_silt,Predicted_clay,Percent_Sand,Percent_Silt,Percent_Clay,VC_Sand_Percent,C_Sand_Percent,M_Sand_Percent,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,pHpH_Res_entry,M3_P_ppm,M3_K_ppm,M3_Mg_ppm,M3_Ca_ppm,pH_Acidity_Index,M3_CEC,K_Saturation_Percent,Mg_Saturation_Percent,Ca_Saturation_Percent,Salts,Exchangeable_Na,Zinc_ppm,Copper_ppm,Sulfur_ppm,Percent_Carbon,Percent_Nitrogen
Cleveland,CLS43,CLP88,CLS43CLP88L1,,,0,35,0.05,,41.46,-81.64,NATIVE,1,Surface,Surface,35,,^Au,A,Anthropogenic over Outwash over Till,10YR 4/2,10YR 4/2,10YR,4,2,NA,sl,#REF!,#REF!,#REF!,54.55,34.06,11.39,,,,,,20,7.5,129,136,271,2519,0,15.2,2.3,14.9,82.9,,,32.5,14.6,17.7,2.43,0.12
Detroit,DS13,DP25,DS13DP25L1,,,0,71,0.07,,42.39,-83.23,DISTURBED,1,Surface,Surface,71.12,,^Au,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,scl,#REF!,#REF!,#REF!,54.8,19.1,26.14,3.53,7.81,26.45,45.09,17.13,25,8.4,14,226,354,3893,0,18.2,1.6,16.2,82.2,,,9.9,5.9,11.8,1.87,0.09
Camden,CAS25,CAP42,CAS25CAP42L3,0.17925,58,40,70,,Yorkship Elementary,39.9,-75.1,Gravel Parking Lot,3,Subsurface,,30,,2C1,C,Coastal Plain Sediments,10YR 5/4,10YR 5/4,10YR,5,4,NA,sl,#REF!,#REF!,#REF!,54.8,19.7,25.6,6.7,15.5,24.7,33.6,19.4,20,7.1,4,134,342,1115,0,8.8,3.9,32.5,63.6,,,3,2.2,9.5,0.55,0.04
Detroit,DS27,DP51,DS27DP51L1,,,0,25,0.44,,42.36,-82.99,DISTURBED,1,Surface,Surface,25.4,,^Au,A,Anthropogenic,10YR 3/2,10YR 3/2,10YR,3,2,NA,scl,#REF!,#REF!,#REF!,54.9,20.9,24.2,5.8,8.12,26.45,44.55,15.08,15,7.9,16,247,372,4687,0,18.7,3.4,16.5,80.1,,,16.9,6.1,11.3,2.15,0.08
Cleveland,CLS33,CLP66,CLS33CLP66L3,0.564602084,61,52,100,,,41.46,-81.64,FILL,3,Subsurface,HR 1,48,52,^C2u,C,,10YR 4/4,10YR 4/4,10YR,4,4,NA,l,#REF!,#REF!,#REF!,54.92,35.16,9.92,,,,,,35,9.1,9,221,529,24624,0,20,2.8,22.1,75.1,,,10.2,4.3,689.8,1.96,0.05
Phoenix,PS7,PP10,PS7PP10L2,,,15,66,,Northsight Park,33.61,-111.9,Park Turfgrass (Bermuda),2,Subsurface,,50.8,,Bk,B,Fan Alluvium,7.5YR 6/6,7.5YR 6/6,,,,NA,sl,#REF!,#REF!,#REF!,55.13,26.77,18.1,6.22,12.25,21.23,29.31,30.99,,8.7,15,162,645,20979,0,20.8,2,25.9,72.1,0.22,96.6,1.1,2.1,40.9,0.9,0.02
Cincinnati,CIS17,CIP35,CIS17CIP35L1,,,0,15,0.889655172,,39.12,-84.55,FILL,1,Surface,Surface,15,,^Au,A,Anthropogenic/Till/Residual,10YR 4/3,10YR 4/3,10YR,4,3,NA,l,#REF!,#REF!,#REF!,55.17,28.68,16.15,,,,,,20,7.95,103,132,264,5122.6,0,17.54,1.9,12.5,85.5,,,16.62,6.75,25.7,3.74,0.12
New Orleans,NS19,NP19,NS19NP19L2,0.651547323,64,28,102,,,30.03,-90.02,Vacant Lot,2,Subsurface,HR 1,73.66,27.94,2A,A,Alluival,,,10YR,3,2,NA,scl,#REF!,#REF!,#REF!,55.2,15.4,29.3,0,0.2,14.8,80.2,4.7,,6.4,15,228,734,1525,5.7,20,2.9,30.5,38.1,,,4.5,2,43,3.27,0.22
San Juan,PRS3,PRP3,PRS3PRP3L3,1.203711605,55,20,85,,Calle del Pilar,18.43,-66.04,VACANT LOT,3,Subsurface,HR 1,65,20,^C2u,C,Anthropogenic,7.5YR 5/6,7.5YR 5/6,7.5YR,5,6,NA,scl,#REF!,#REF!,#REF!,55.4,15.1,29.5,,,,,,60,8.5,7,235,212,24703,0,17.4,3.5,10.2,86.4,,,13.4,3.2,137.5,6.65,0.04
San Juan,PRS8,PRP8,PRS8PRP8L2,87.66406134,60,20,70,,Calle San Jose,18.43,-66.06,VACANT LOT,2,Subsurface,HR 1,50,20,^C1u,C,Anthropogenic,10YR 6/6; 10YR 6/4; 5YR 5/6; 10YR 7/2,10YR 6/6,10YR,6,6,NA,scl,#REF!,#REF!,#REF!,55.4,12,32.6,,,,,,35,8.1,6,38,369,5793,0,18.2,0.5,16.9,82.5,,,5.7,4.2,69,0.61,0.06
Cleveland,CLS46,CLP93,CLS46CLP93L1,,,0,18,2.99,,41.46,-81.63,FILL,1,Surface,Surface,18,,^A1u,A,Anthropogenic over Residual,10YR 4/2,10YR 4/2,10YR,4,2,NA,l,#REF!,#REF!,#REF!,55.43,29.88,14.69,,,,,,45,7.4,41,216,388,3586,0,18.8,2.9,17.2,79.8,,,23.3,6.7,160.7,3.51,0.25
Cleveland,CLS47,CLP95,CLS47CLP95L4,0.640275082,64,58,75,,,41.46,-81.63,FILL,4,Subsurface,HR 1,17,58,2Cg1,C,,10YR 5/1; 7.5YR 5/6,10YR 5/1,10YR,5,1,NA,sl,#REF!,#REF!,#REF!,55.6,34.38,10.02,,,,,,0,6.3,22,44,262,1275,2.2,10.9,1,20.1,58.6,,,1.3,1.8,29.6,1.11,0.09
Atlanta,ATS11,ATP41,ATS11ATP41L5,0,119,100,120,,423 Sunset,33.77,-84.41,Vacant Lot,5,Subsurface,,20,,2CB,C,Residual,10YR 4/4; 10YR 5/6; 7.5YR 5/6,10YR 4/4,10YR,4,4,NA,l,#REF!,#REF!,#REF!,55.9,24.8,19.3,,,,,,,7.3,3,134,45,623,0,3.8,9,9.8,81.2,,,0.6,2.3,14.7,0.4,0.02
San Juan,PRS8,PRP8,PRS8PRP8L1,,,0,20,0.259471238,Calle San Jose,18.43,-66.06,VACANT LOT,1,Surface,Surface,20,,^Au,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,scl,#REF!,#REF!,#REF!,56,18.7,25.3,,,,,,25,7.2,8,99,509,4908,0,19.5,1.3,21.8,76.9,,,6,3.5,26.1,3.62,0.35
Cleveland,CLS27,CLP55,CLS27CLP55L5,0.197228732,113,70,188,,,41.48,-81.7,NATIVE,5,Subsurface,HR 1,118,70,3C2,C,,10YR 4/4,10YR 4/4,10YR,4,4,NA,sl,#REF!,#REF!,#REF!,56.03,35.47,8.5,,,,,,15,8.1,51,56,329,2309.15,0,17.89,0.8,15.3,83.9,,,7.6,6.1,33.2,1.1,0.06
Atlanta,ATS8,ATP30,ATS8ATP30L2,,,15,25,,744 North,33.77,-84.41,Vacant Lot,2,Subsurface,,10,,2A,A,Residual,10YR 4/2,10YR 4/2,10YR,4,2,NA,sil,#REF!,#REF!,#REF!,56.1,24.3,19.6,,,,,,,6.8,99,95,52,1028,0,5.8,4.2,7.4,88.4,,,39.1,5.9,30.3,,
Detroit,DS20,DP37,DS20DP37L1,,,0,30,1.35,,42.41,-83.02,DISTURBED,1,Surface,Surface,30.48,,^Au,A,Anthropogenic,10YR 3/2,10YR 3/2,10YR,3,2,NA,scl,#REF!,#REF!,#REF!,56.3,20.7,23,3.42,8.25,27.57,46.68,14.08,10,7.7,25,301,401,2964,0,18.9,4.1,17.6,78.3,,,19.9,6,11.4,3.26,0.21
Camden,CAS26,CAP43,CAS26CAP43L1,,,0,25,1.116278667,Medford WMA,39.93,-74.84,Woods,1,Surface,Surface,25,,A,A,Coastal Plain Sediments,5Y 3/2,5Y 3/2,5Y,3,2,NA,l,#REF!,#REF!,#REF!,56.3,19.3,24.4,2.7,11.5,39,38.7,8,,4.3,38,146,184,387,14.1,17.9,2.1,8.5,10.8,,,2.3,0.4,11.3,2.21,0.17
Detroit,DS3,DP5,DS3DP5L1,,,0,30,0.14,,42.4,-83.24,DISTURBED,1,Surface,Surface,30.48,,^A,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,scl,#REF!,#REF!,#REF!,56.5,23,20.5,2.86,4.39,14.69,45.99,32.06,5,7.5,31,202,376,2758,0,17.4,3,18,79.1,,,20.6,8.5,15.8,1.9,0.16
Atlanta,ATS2,ATP6,ATS2ATP6L2,0.95359,59,50,70,,Atwood Front,33.73,-84.43,Residential Yard,2,Subsurface,,20,,A,A,Residual,7.5YR 4/3,7.5YR 4/3,7.5YR,4,3,NA,l,#REF!,#REF!,#REF!,56.5,24.3,19.2,,,,,,,7.1,42,31,61,1046,0,5.8,1.4,8.7,89.9,,,13.2,5.7,8.6,2.97,0.13
Portland,PORS6,PORP23,PORS6PORP23L1,,,0,30,0.284325,Fessenden Park,43.66,-70.28,Park,1,Surface,Surface,30,,^A,A,Anthropogenic,10YR 4/2,10YR 4/2,10YR,4,2,NA,ls,#REF!,#REF!,#REF!,56.5,30.2,13.3,6.3,15.2,19.6,30.2,28.7,15,4.9,56,142,89,591,7.5,11.6,3.1,6.4,25.6,,,10.6,7.6,19.4,3.59,0.26
Tacoma,TS2,TP2,TS2TP2L1,,,0,30,1.7207751,Alling Park,47.2,-122.45,Park,1,Surface,Surface,30.48,,Ap,A,Glacial Till,,,10YR,4,3,NA,fsl,#REF!,#REF!,#REF!,56.6,31.8,11.6,8.93,12.1,27.38,36.11,15.48,10,5.7,88,134,115,823,6.9,12.3,2.8,7.8,33.4,,,5.7,2.9,14.6,2.46,0.19
Cincinnati,CIS2,CIP3,CIS2CIP3L1,,,0,10,0.537931034,,39.13,-84.56,NATIVE,1,Surface,Surface,10,,^C1,C,Anthropogenic/Till/Residual,10YR 5/1,10YR 5/1,10YR,5,1,NA,sil,#REF!,#REF!,#REF!,56.69,33.04,10.27,,,,,,20,7.5,1,114,277,27459.9,0,17.6,1.7,13.1,85.2,,,8.42,2.55,41.5,9.86,0.13
Atlanta,ATS9,ATP33,ATS9ATP33L3,0,119,120,180,,750 North,33.77,-84.41,Vacant Lot,3,Subsurface,,60,,2C2,C,Residual,2.5YR 4/6,2.5YR 4/6,2.5YR,4,6,NA,l,#REF!,#REF!,#REF!,56.7,15.7,27.6,,,,,,,7.9,3,52,57,632,0,3.8,3.5,12.6,83.9,,,1.3,3.3,28.7,0.96,0.01
Atlanta,ATS2,ATP6,ATS2ATP6L1,1.16261,33,0,50,0.747794462,Atwood Front,33.73,-84.43,Residential Yard,1,Surface,Surface,50,,^Cu,C,Anthropogenic,5YR 5/4,5YR 5/4,5YR,5,4,NA,l,#REF!,#REF!,#REF!,57.1,30.4,12.6,,,,,,10,6.9,13,177,83,610,0,4.2,10.8,16.5,72.7,,,22.2,11.8,19.2,1.89,0.04
Atlanta,ATS5,ATP17,ATS5ATP17L1,,,0,35,,979 Frank - front,33.75,-84.42,Vacant Lot,1,Surface,Surface,35,,^Cu,C,Anthropogenic,2.5YR 4/6; 2.5YR 5/8; 5YR 4/4,2.5YR 4/6,2.5YR,4,6,NA,l,#REF!,#REF!,#REF!,57.1,15.3,27.6,,,,,,10,7.7,14,213,77,1178,0,7.1,7.7,9.1,83.2,,,16.3,8.3,16.5,1.43,0.09
Detroit,DS8,DP15,DS8DP15L1,,,0,30,0.3,,42.4,-83.25,DISTURBED,1,Surface,Surface,30.48,,^Au,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,fsl,#REF!,#REF!,#REF!,57.2,26.3,16.5,6.3,9.86,25.48,43.84,14.52,25,8.1,10,110,337,4759,0,18.1,1.6,15.5,82.9,,,5.6,5.1,17.6,2.34,0.06
Detroit,DS28,DP53,DS28DP53L1,,,0,20,0.39,Biraga Playground,42.39,-83.04,,1,Surface,Surface,20.32,,^Au,A,Anthropogenic,2.5Y 4/3,2.5Y 4/3,2.5Y,4,3,NA,scl,#REF!,#REF!,#REF!,57.2,19.8,22.9,8.28,12.58,25.17,37.75,16.23,15,8.3,9,106,400,5191,0,18.6,1.5,17.9,80.6,,,9.8,7.7,31.6,2.43,0.06
San Juan,PRS1,PRP1,PRS1PRP1L3,0.05763375,63,35,65,,Calle 14,18.43,-66.05,VACANT LAND,3,Subsurface,HR 1,30,35,^Cgu,C,Anthropogenic,10YR 5/2,10YR 5/2,10YR,5,2,NA,scl,#REF!,#REF!,#REF!,57.2,17.3,25.5,,,,,,15,8.2,14,67,568,3571,0,19.9,0.9,23.8,75.4,,,9.2,10.1,76.4,0.66,0.07
Atlanta,ATS7,ATP25,ATS7ATP25L3,0.44488,122,100,150,,664 Magnolia,33.76,-84.41,Vacant Lot,3,Subsurface,,50,,^C2u,C,Anthropogenic,2.5YR 5/6,2.5YR 5/6,2.5YR,5,6,NA,l,#REF!,#REF!,#REF!,57.2,22.4,20.5,,,,,,20,8.2,10,111,190,2760,0,15.7,1.8,10.1,88.1,,,8.3,4.3,82.5,2.14,0.06
Tacoma,TS10,TP10,TS10TP10L2,0.087,62,18,76,,McKinley Park,47.22,-122.42,Park,2,Subsurface,HR 1,58.42,17.78,Bw1,B,Glacial Till,,,2.5Y,6,4,NA,fsl,#REF!,#REF!,#REF!,57.3,30.8,11.9,4.97,12.71,25.05,34.62,22.65,15,6.4,26,92,331,1152,2.2,11,2.2,25.2,52.6,,,0.8,1.3,4.3,0.1,0.02
Detroit,DS9,DP18,DS9DP18L1,,,0,51,3.45,,42.39,-83.25,UNDISTURBED,1,Surface,Surface,50.8,,^A1u,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,fsl,#REF!,#REF!,#REF!,57.5,26.5,16,2.25,2.42,14.34,45.6,35.41,15,7.8,26,123,231,2793,0,16,1.9,11.9,86.2,,,7,3,14.3,1.84,0.09
Atlanta,ATS10,ATP36,ATS10ATP36L4,0.04274,123,80,150,,Lindsay Street Park,33.77,-84.42,Vacant Lot,4,Subsurface,,70,,Btg2,B,Residual,10YR 7/1,10YR 7/1,10YR,7,1,NA,sc,#REF!,#REF!,#REF!,57.7,16.7,25.6,,,,,,,4.6,1,35,29,83,6.3,7,1.3,3.4,5.9,,,0.2,0.4,102,0.07,0.01
Detroit,DS12,DP24,DS12DP24L1,,,0,76,0.3,,42.39,-83.24,UNDISTURBED,1,Surface,Surface,76.2,,^Au,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,fsl,#REF!,#REF!,#REF!,57.9,25.9,16.1,10.63,11.63,21.59,31.23,24.92,30,8.1,23,235,704,4877,0,21.5,2.8,27.3,69.9,,,22.4,6.3,24.7,3.69,0.14
Detroit,DS19,DP36,DS19DP36L1,,,0,15,0.65,,42.41,-83.02,UNDISTURBED,1,Surface,Surface,15.24,,^A1u,A,Anthropogenic,10YR 3/2,10YR 3/2,10YR,3,2,NA,fsl,#REF!,#REF!,#REF!,58,25.5,16.5,8.3,11.76,25.26,39.79,14.88,15,7.5,49,279,486,5414,0,19.8,3.6,20.5,75.9,,,44.4,37.8,37.7,5.34,0.35
Cleveland,CLS31,CLP63,CLS31CLP63L1,,,0,20,1.52,,41.46,-81.64,NATIVE,1,Surface,Surface,20,,^Au,A,,10YR 3/2,10YR 3/2,10YR,3,2,NA,sl,#REF!,#REF!,#REF!,58.26,32.31,9.44,,,,,,25,7.1,86,136,356,1897,0,12.8,2.7,23.2,74.1,,,139.1,15.1,11.8,4.5,0.19
Atlanta,ATS1,ATP1,ATS1ATP1L5,0.13956,122,140,180,,Athens Research Farm,33.87,-83.43,Agricultural Field,5,Subsurface,,40,,BCt,B,Residual,2.5YR 5/6; 2.5YR 4/6; 5YR 5/8,2.5YR 5/6,2.5YR,5,6,NA,sl,#REF!,#REF!,#REF!,58.3,17.6,24.1,3.1,11.9,23.5,39.1,22.4,,6.7,3,56,49,605,2,5.6,2.6,7.3,54.2,,,0.8,2.2,30.9,0.69,0.04
Cleveland,CLS36,CLP73,CLS36CLP73L4,0.242346845,66,45,75,,,41.46,-81.64,NATIVE,4,Subsurface,HR 1,30,45,^C3,C,,10YR 4/1,10YR 4/1,10YR,4,1,NA,cl,#REF!,#REF!,#REF!,58.4,31.48,10.13,,,,,,0,7.5,51,73,177,1160,0,7.5,2.5,19.8,77.7,,,5,3.3,15.4,0.48,0.04
Cleveland,CLS36,CLP74,CLS36CLP74L2,0.242346845,66,60,85,,,41.46,-81.64,NATIVE,2,Subsurface,HR 1,25,60,^Cg1,C,,10YR 6/2,10YR 6/2,10YR,6,2,NA,sl,#REF!,#REF!,#REF!,58.4,31.48,10.13,,,,,,0,7.5,51,73,177,1160,0,7.5,2.5,19.8,77.7,,,5,3.3,15.4,0.48,0.04
Atlanta,ATS4,ATP16,ATS4ATP16L5,,,120,225,,386 Elm,33.77,-84.41,Vacant Lot,5,Subsurface,,105,,2Bt,B,Residual,7.5YR 5/6,7.5YR 5/6,7.5YR,5,6,NA,sil,#REF!,#REF!,#REF!,58.5,22.9,18.6,,,,,,,7.8,3,207,42,597,0,3.9,13.7,9.1,77.2,,,1.2,1.7,24.1,0.31,0.02
Cleveland,CLS17,CLP34,CLS17CLP34L1,,,0,20,4.59,,41.48,-81.63,NATIVE,1,Surface,Surface,20,,^A1u,A,Anthropogenic over Glacial Till over Aeolian,10YR 2/2,10YR 2/2,10YR,2,2,NA,sl,#REF!,#REF!,#REF!,59.01,38.54,2.45,,,,,,40,8,61,212,312,3334.32,0,18.1,3,14.3,82.7,,,34.7,37.2,36,6.4,0.19
Cleveland,CLS40,CLP81,CLS40CLP81L3,0.007582205,64,30,130,,,41.46,-81.64,FILL,3,Subsurface,HR 1,100,30,^C1u,C,,10YR 3/2; 10YR 5/3; 10YR 5/6; 10YR 6/1,10YR 3/2,10YR,3,2,NA,scl,#REF!,#REF!,#REF!,59.06,29.05,11.89,,,,,,15,7.4,48,60,285,2069,0,12.9,1.2,18.4,80.4,,,25.9,7.7,20.7,1.46,0.05
San Juan,PRS4,PRP4,PRS4PRP4L1,,,0,20,0.422405238,Calle Principal,18.43,-66.05,AUTO YARD,1,Surface,Surface,20,,^Au,A,Anthropogenic,10YR 4/4,10YR 4/4,10YR,4,4,NA,scl,#REF!,#REF!,#REF!,59.2,9.2,31.6,,,,,,30,8.3,25,39,297,4762,0,17.6,0.6,14.1,85.3,,,19.4,8.6,114.6,1.22,0.08
Cleveland,CLS35,CLP70,CLS35CLP70L1,,,0,35,1.89,,41.46,-81.64,FILL,1,Surface,Surface,35,,^Au,A,Anthropogenic over Till over Residual,10YR 4/3,10YR 4/3,10YR,4,3,NA,sl,#REF!,#REF!,#REF!,59.23,32.92,7.85,,,,,,35,7.5,19,108,275,5507,0,17.6,1.6,13,85.4,,,248.1,217.8,1337.4,5.39,0.15
Cleveland,CLS31,CLP62,CLS31CLP62L1,,,0,27,1.18,,41.46,-81.64,FILL,1,Surface,Surface,27,,^A1u,A,Anthropogenic over Till over Residual,10YR 3/4,10YR 3/4,10YR,3,4,NA,l,#REF!,#REF!,#REF!,59.49,30.34,10.17,,,,,,50,7.8,35,207,919,7170,0,23.2,2.3,33,64.7,,,34.8,8,41.6,3.6,0.17
Atlanta,ATS7,ATP25,ATS7ATP25L2,1.427,57,15,100,,664 Magnolia,33.76,-84.41,Vacant Lot,2,Subsurface,,85,,^C1u,C,Anthropogenic,5YR 4/6,5YR 4/6,5YR,4,6,NA,l,#REF!,#REF!,#REF!,59.6,22.4,17.9,,,,,,30,8.1,10,76,176,2385,0,13.6,1.4,10.8,87.8,,,9.2,6,38.6,1.62,0.14
Camden,CAS22,CAP39,CAS22CAP39L3,0.01651,59,30,75,,Saddlers Woods,39.9,-75.06,Woods,3,Subsurface,,45,,Bt,B,Coastal Plain Sediments,7.5YR 4/6,7.5YR 4/6,7.5YR,4,6,NA,scl,#REF!,#REF!,#REF!,59.7,17.3,23.1,13,38.2,26,14.4,8.4,10,5.1,3,137,124,578,6.3,10.6,3.3,9.8,27.3,,,1.5,1.2,60,0.32,0.04
Cleveland,CLS46,CLP94,CLS46CLP94L1,,,0,35,0.84,,41.46,-81.63,NATIVE,1,Surface,Surface,35,,^Au,A,Anthropogenic over Outwash over Residual,10YR 3/2,10YR 3/2,10YR,3,2,NA,l,#REF!,#REF!,#REF!,59.8,31.52,8.68,,,,,,25,6.8,214,210,250,2052,0,12.9,4.2,16.2,79.6,,,151.6,27.2,49.1,5.4,0.27
Atlanta,ATS11,ATP40,ATS11ATP40L4,,,95,160,,423 Sunset center,33.77,-84.41,Vacant Lot,4,Subsurface,,65,,2BC,B,Residual,7.5YR 4/4,7.5YR 4/4,7.5YR,4,4,NA,l,#REF!,#REF!,#REF!,59.8,20.1,20.1,,,,,,,7.4,6,29,42,892,0,4.9,1.5,7.2,91.3,,,0.6,2.6,15.6,1.05,
Tacoma,TS10,TP10,TS10TP10L1,,,0,18,1.8725445,McKinley Park,47.22,-122.42,Park,1,Surface,Surface,17.78,,Ap,A,Glacial Till,,,10YR,4,3,NA,fsl,#REF!,#REF!,#REF!,59.9,28.2,12.3,8.6,12.71,26.73,34.39,17.57,10,5.8,32,178,132,1174,5.1,12.5,3.6,8.8,469,,,4,3.8,14.6,1.71,0.14
Cincinnati,CIS3,CIP5,CIS3CIP5L1,,,0,25,1.096551724,,39.13,-84.56,NATIVE,1,Surface,Surface,25,,^C1u,C,Anthropogenic/Till/Residual,10YR 3/2,10YR 3/2,10YR,3,2,NA,l,#REF!,#REF!,#REF!,59.99,29.78,10.23,,,,,,30,7.85,62,116,317,5790.3,0,17.94,1.7,14.7,83.6,,,37.91,28.05,26.5,19.72,0.4
Portland,PORS4,PORP12,PORS4PORP12L4,0.264983,112,110,150,,East End School,43.67,-70.25,School Field,4,Subsurface,HR 1,40,110,Cd1,C,Glacial Till,2.5Y 5/3,2.5Y 5/3,2.5Y,5,3,NA,sl,#REF!,#REF!,#REF!,60,18.3,21.7,9.9,14.7,21.7,32.5,21.2,10,6.8,12,146,173,983,0,6.7,5.6,21.4,73,,,0.8,1.1,5.7,0.05,0.01
Cleveland,CLS3,CLP6,CLS3CLP6L1,,,0,20,0.09,,41.55,-81.58,NATIVE,1,Surface,Surface,20,,^A,A,Anthropogenic over Glacial Till,10YR 4/2,10YR 4/2,10YR,4,2,NA,sl,#REF!,#REF!,#REF!,60.08,22.14,17.78,,,,,,15,6.4,86,302,192,3465.04,2.8,11.9,6.5,13.4,56.6,,,18.6,7.6,13.1,1.38,0.12
Detroit,DS30,DP55,DS30DP55L3,0.135714233,82.5,61,102,,Maheras-Gentry Park,42.36,-82.95,,3,Subsurface,HR 1,40.64,60.96,^A3u,A,Anthropogenic,10YR 4/2,10YR 4/2,10YR,4,2,NA,fsl,#REF!,#REF!,#REF!,60.2,26.1,13.7,1.35,2.47,12.81,39.1,44.27,10,7.8,5,31,263,2807,0,16.3,0.5,13.4,86.1,,,1.9,4.5,15.1,1.96,0.06
Portland,PORS4,PORP12,PORS4PORP12L1,,,0,20,2.005648773,East End School,43.67,-70.25,School Field,1,Surface,Surface,20,,A1,A,Glacial Till,2.5Y 4/2,2.5Y 4/2,2.5Y,4,2,NA,ls,#REF!,#REF!,#REF!,60.2,19.8,20.1,9.7,16.9,21.3,31.3,20.7,15,7.2,17,196,176,1108,0,7.5,6.7,19.5,73.8,,,0.9,1.5,13.5,0.16,0.02
Cleveland,CLS45,CLP92,CLS45CLP92L1,,,0,30,1.61,,41.46,-81.63,NATIVE,1,Surface,Surface,30,,^A,A,Anthropogenic over Outwash over Residual,10YR 3/3,10YR 3/3,10YR,3,3,NA,l,#REF!,#REF!,#REF!,60.23,30.62,9.15,,,,,,10,7.5,59,186,392,3746,0,18.7,2.5,17.4,80,,,267.4,30.3,31.9,7.41,0.25
Phoenix,PS6,PP9,PS6PP9L5,,,122,218,,Mescal Park,33.59,-111.93,Park Turfgrass (Bermuda),5,Subsurface,,96.52,,2C1,C,Fan Alluvium,7.5YR 6/6,7.5YR 6/6,,,,NA,cosl,#REF!,#REF!,#REF!,60.36,21.39,18.24,12.95,16.78,13.6,20.93,35.75,25,8.5,5,112,5612,20990,0,62.1,0.5,75.4,24.2,0.23,121.2,0.8,1.1,38,4.62,0
Cincinnati,CIS7,CIP14,CIS7CIP14L1,,,,,,,39.13,-84.55,NATIVE,1,Surface,Surface,,,1,,,,,,,,NA,sl,#REF!,#REF!,#REF!,60.42,29.94,9.64,,,,,,,8.18,42,118,274,4704.7,0,17.59,1.7,13,85.3,,,23.21,5.57,21.96,3.35,0.05
Atlanta,ATS6,ATP19,ATS6ATP19L1,,,0,25,1.495946203,Griffin - Disturbed,33.76,-84.41,Vacant Lot,1,Surface,Surface,25,,^Au,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,sil,#REF!,#REF!,#REF!,60.9,20,19.1,,,,,,20,6.8,61,221,141,1466,0,9.1,6.2,13,80.8,,,73.6,12,19.3,3.01,0.25
Camden,CAS18,CAP35,CAS18CAP35L1,,,0,15,44.449014,Baird CSO,39.94,-75.09,Passive Lawn,1,Surface,Surface,15,,^Au,A,Anthropogenic,10YR 4/2,10YR 4/2,10YR,4,2,NA,ls,#REF!,#REF!,#REF!,60.9,20.8,10.2,3.8,6.4,20,54.3,15.6,10,5.6,99,143,180,870,4.5,10.7,3.4,14,40.6,,,16.5,3.1,21.6,2.64,0.21
Cleveland,CLS40,CLP82,CLS40CLP82L3,0.012341737,61,38,100,,,41.46,-81.64,NATIVE,3,Subsurface,HR 1,62,38,2C1,C,,10YR 4/6,10YR 4/6,10YR,4,6,NA,sl,#REF!,#REF!,#REF!,60.93,28.75,10.32,,,,,,0,7.6,23,91,251,1019,0,7.4,3.1,28.2,68.7,,,1.2,1.5,35,0.3,0.03
Atlanta,ATS3,ATP12,ATS3ATP12L1,,,0,15,0.493476476,370 Brawley,33.76,-84.41,Vacant Lot,1,Surface,Surface,15,,A,A,Residual,7.5YR 4/3,7.5YR 4/3,7.5YR,4,3,NA,l,#REF!,#REF!,#REF!,61,21.2,17.8,,,,,,,8.2,15,154,180,3103,0,16.9,2.3,8.9,88.8,,,26.9,7.8,88.3,2.99,0.17
Cleveland,CLS38,CLP77,CLS38CLP77L1,,,0,30,1.15,,41.46,-81.64,FILL,1,Surface,Surface,30,,^Au,A,Anthropogenic over Residual,10YR 4/4,10YR 4/4,10YR,4,4,NA,sl,#REF!,#REF!,#REF!,61.62,26.81,11.56,,,,,,25,8.3,31,80,333,4881,0,18,1.1,15.4,83.4,,,13.4,5.6,49.1,1.98,0.08
Cleveland,CLS27,CLP55,CLS27CLP55L1,,,0,16,0.72,,41.48,-81.7,NATIVE,1,Surface,Surface,16,,^A,A,Anthropogenic over Glacial Till,10YR 4/3,10YR 4/3,10YR,4,3,NA,sl,#REF!,#REF!,#REF!,61.7,30.01,8.29,,,,,,30,5.28,24,289,300,3231.86,0,11.95,4.1,13.7,82.2,,,25.1,18.3,200.3,2.73,0.16
San Juan,PRS18,PRP22,PRS18PRP22L1,,,0,10,0.022834727,Luis Munoz Souffront,18.4,-66.09,FIELD,1,Surface,Surface,10,,^Au,A,Anthropogenic,10YR 4/3,10YR 4/3,10YR,4,3,NA,scl,#REF!,#REF!,#REF!,61.7,10.2,28.1,,,,,,10,8.1,4,175,452,5332,0,19.2,2.3,19.6,78.1,,,6.5,3,26.2,,
